domain,ip
6a57jk2ba1d9keg15cbg.appsync-api.eu-west-1.avsvmcloud.com,
7sbvaemscs0mc925tb99.appsync-api.us-west-2.avsvmcloud.com,
gq1h856599gqh538acqn.appsync-api.us-west-2.avsvmcloud.com,
ihvpgv9psvq02ffo77et.appsync-api.us-east-2.avsvmcloud.com,
k5kcubuassl3alrf7gm3.appsync-api.eu-west-1.avsvmcloud.com,
mhdosoksaccf9sni9icp.appsync-api.eu-west-1.avsvmcloud.com,
deftsecurity.com,13.59.205.66
freescanonline.com,54.193.127.66
thedoccloud.com,54.215.192.52
websitetheme.com,34.203.203.23
highdatabase.com,139.99.115.204
incomeupdate.com,5.252.177.25
databasegalore.com,5.252.177.21
panhardware.com,204.188.205.176
zupertech.com,51.89.125.18
zupertech.com,167.114.213.199
freescanonline.com,
deftsecurity.com,
freescanonline.com,
thedoccloud.com,
thedoccloud.com,
thedoccloud.com,
,96.31.172.134
,96.31.172.135
,96.31.172.136
,96.31.172.137
,96.31.172.138
,96.31.172.139
,96.31.172.14
,96.31.172.140
,96.31.172.141
,96.31.172.142
,96.31.172.144
,96.31.172.145
,96.31.172.146
,96.31.172.147
,96.31.172.148
,96.31.172.149
,96.31.172.150
,96.31.172.152
,96.31.172.153
,96.31.172.154
,96.31.172.155
,96.31.172.156
,96.31.172.158
,96.31.172.16
,96.31.172.160
,96.31.172.161
,96.31.172.162
,96.31.172.163
,96.31.172.164
,96.31.172.165
,96.31.172.167
,96.31.172.168
,96.31.172.169
,96.31.172.17
,96.31.172.170
,96.31.172.171
,96.31.172.172
,96.31.172.173
,96.31.172.174
,96.31.172.175
,96.31.172.176
,96.31.172.177
,96.31.172.178
,96.31.172.179
,96.31.172.18
,96.31.172.180
,96.31.172.181
,96.31.172.182
,96.31.172.183
,96.31.172.184
,96.31.172.187
,96.31.172.188
,96.31.172.189
,96.31.172.19
,96.31.172.191
,96.31.172.192
,96.31.172.193
,96.31.172.194
,96.31.172.195
,96.31.172.196
,96.31.172.197
,96.31.172.198
,96.31.172.199
,96.31.172.2
,96.31.172.20
,96.31.172.200
,96.31.172.201
,96.31.172.202
,96.31.172.203
,96.31.172.204
,96.31.172.205
,96.31.172.206
,96.31.172.207
,96.31.172.208
,96.31.172.209
,96.31.172.21
,96.31.172.210
,96.31.172.211
,96.31.172.212
,96.31.172.213
,96.31.172.214
,96.31.172.215
,96.31.172.216
,96.31.172.217
,96.31.172.218
,96.31.172.219
,96.31.172.22
,96.31.172.220
,96.31.172.221
,96.31.172.222
,96.31.172.223
,96.31.172.224
,96.31.172.225
,96.31.172.226
,96.31.172.228
,96.31.172.229
,96.31.172.23
,96.31.172.231
,96.31.172.232
,96.31.172.233
,96.31.172.235
,96.31.172.236
,96.31.172.237
,96.31.172.238
,96.31.172.239
,96.31.172.24
,96.31.172.240
,96.31.172.241
,96.31.172.242
,96.31.172.243
,96.31.172.244
,96.31.172.245
,96.31.172.246
,96.31.172.247
,96.31.172.248
,96.31.172.249
,96.31.172.25
,96.31.172.250
,96.31.172.251
,96.31.172.252
,96.31.172.253
,96.31.172.254
,96.31.172.255
,96.31.172.26
,96.31.172.27
,96.31.172.28
,96.31.172.3
,96.31.172.30
,96.31.172.31
,96.31.172.33
,96.31.172.34
,96.31.172.35
,96.31.172.36
,96.31.172.37
,96.31.172.38
,96.31.172.39
,96.31.172.4
,96.31.172.40
,96.31.172.41
,96.31.172.42
,96.31.172.43
,96.31.172.44
,96.31.172.45
,96.31.172.47
,96.31.172.48
,96.31.172.49
,96.31.172.5
,96.31.172.50
,96.31.172.51
,96.31.172.52
,96.31.172.53
,96.31.172.54
,96.31.172.55
,96.31.172.56
,96.31.172.57
,96.31.172.58
,96.31.172.59
,96.31.172.6
,96.31.172.60
,96.31.172.61
,96.31.172.62
,96.31.172.63
,96.31.172.64
,96.31.172.65
,96.31.172.66
,96.31.172.67
,96.31.172.68
,96.31.172.69
